produto,estado,semana,preco_modelo,preco_baseline,mae_modelo_estado,mae_baseline_estado
GLP,SC,2026-08-17/2026-08-23,124.55660559381703,123.95,0.9337172846302124,0.8847916666666663
GLP,SC,2026-08-24/2026-08-30,124.5759499299559,123.95,0.9337172846302124,0.8847916666666663
GLP,SE,2026-08-03/2026-08-09,114.35485979271147,114.9,0.7312328903878438,0.6706249999999999
GLP,SE,2026-08-10/2026-08-16,114.2461997529996,114.9,0.7312328903878438,0.6706249999999999
GLP,SE,2026-08-17/2026-08-23,114.13753971328774,114.9,0.7312328903878438,0.6706249999999999
GLP,SE,2026-08-24/2026-08-30,113.82000866588285,114.9,0.7312328903878438,0.6706249999999999
GLP,SP,2026-08-03/2026-08-09,115.01726848636228,115.0,0.2448643504357456,0.1891666666666672
GLP,SP,2026-08-10/2026-08-16,115.03453697272457,115.0,0.2448643504357456,0.1891666666666672
GLP,SP,2026-08-17/2026-08-23,115.05180545908685,115.0,0.2448643504357456,0.1891666666666672
GLP,SP,2026-08-24/2026-08-30,115.06907394544913,115.0,0.2448643504357456,0.1891666666666672
GLP,TO,2026-08-03/2026-08-09,134.8517244423141,135.0,1.7759501430826583,1.5208333333333333
GLP,TO,2026-08-10/2026-08-16,134.7034488846282,135.0,1.7759501430826583,1.5208333333333333
GLP,TO,2026-08-17/2026-08-23,134.55517332694228,135.0,1.7759501430826583,1.5208333333333333
GLP,TO,2026-08-24/2026-08-30,134.40689776925637,135.0,1.7759501430826583,1.5208333333333333
GASOLINA,AC,2026-08-03/2026-08-09,7.206526682980845,7.29,0.1894671507114775,0.1708333333333333
GASOLINA,AC,2026-08-10/2026-08-16,7.111848444099887,7.29,0.1894671507114775,0.1708333333333333
GASOLINA,AC,2026-08-17/2026-08-23,7.103547510809016,7.29,0.1894671507114775,0.1708333333333333
GASOLINA,AC,2026-08-24/2026-08-30,7.092512717846945,7.29,0.1894671507114775,0.1708333333333333
GASOLINA,AL,2026-08-03/2026-08-09,6.8484318742825065,6.84,0.0738150784194227,0.0672916666666666
GASOLINA,AL,2026-08-10/2026-08-16,6.8582255793851035,6.84,0.0738150784194227,0.0672916666666666
GASOLINA,AL,2026-08-17/2026-08-23,6.867500856284078,6.84,0.0738150784194227,0.0672916666666666
GASOLINA,AL,2026-08-24/2026-08-30,6.87433498803834,6.84,0.0738150784194227,0.0672916666666666
GASOLINA,AM,2026-08-03/2026-08-09,7.2835884287163,7.29,0.0554996430071069,0.0537499999999999
GASOLINA,AM,2026-08-10/2026-08-16,7.284708381547633,7.29,0.0554996430071069,0.0537499999999999
GASOLINA,AM,2026-08-17/2026-08-23,7.2844982520101516,7.29,0.0554996430071069,0.0537499999999999
GASOLINA,AM,2026-08-24/2026-08-30,7.28539275339838,7.29,0.0554996430071069,0.0537499999999999
GASOLINA,AP,2026-08-03/2026-08-09,6.449529242735603,6.45,0.041076125967272,0.0454166666666666
GASOLINA,AP,2026-08-10/2026-08-16,6.449058485471206,6.45,0.041076125967272,0.0454166666666666
GASOLINA,AP,2026-08-17/2026-08-23,6.453954476754462,6.45,0.041076125967272,0.0454166666666666
GASOLINA,AP,2026-08-24/2026-08-30,6.457016823515788,6.45,0.041076125967272,0.0454166666666666
