produto,estado,mae_estado,mae_baseline_estado
DIESEL,AC,0.18024651663025595,0.17895833333333333
DIESEL,AL,0.22697815143576597,0.21458333333333326
DIESEL,AM,0.09165904842997025,0.05124999999999998
DIESEL,AP,0.09007398010451101,0.025208333333333315
DIESEL,BA,0.10309568769145862,0.09354166666666665
DIESEL,CE,0.10272836533002173,0.09260416666666667
DIESEL,DF,0.08442476100744639,0.06291666666666663
DIESEL,ES,0.052363554826705995,0.03229166666666666
DIESEL,GO,0.08306218079074222,0.08458333333333333
DIESEL,MA,0.09116092559589835,0.0840625
DIESEL,MG,0.0637822582155389,0.05979166666666672
DIESEL,MS,0.09079433585423397,0.08604166666666657
DIESEL,MT,0.07116564118047643,0.062499999999999965
DIESEL,PA,0.11042447857431871,0.09979166666666668
DIESEL,PB,0.07223521335883626,0.06302083333333336
DIESEL,PE,0.12604305913513497,0.10625000000000002
DIESEL,PI,0.092908796501056,0.07854166666666663
DIESEL,PR,0.06914005514079354,0.07010416666666676
DIESEL,RJ,0.08485070623794673,0.0691666666666667
DIESEL,RN,0.11162722649329561,0.09687499999999998
DIESEL,RO,0.060602233884967015,0.04437500000000002
DIESEL,RR,0.06936554456771576,0.03937499999999997
DIESEL,RS,0.05703932684069413,0.060208333333333384
DIESEL,SC,0.07894475802351197,0.07874999999999992
DIESEL,SE,0.10758044285344091,0.09562499999999996
DIESEL,SP,0.05894358058818041,0.05749999999999994
DIESEL,TO,0.12105649058566138,0.11333333333333329
ETANOL,AC,0.19015348025678422,0.18343749999999992
ETANOL,AL,0.05969482613119592,0.05312500000000001
ETANOL,AM,0.035113198309906966,0.03145833333333329
ETANOL,AP,0.026736650309583665,0.021145833333333346
ETANOL,BA,0.06482772601550163,0.06020833333333334
ETANOL,CE,0.0794696807904351,0.06937500000000003
ETANOL,DF,0.15860770053259854,0.14958333333333343
ETANOL,ES,0.03428015050714287,0.024374999999999942
ETANOL,GO,0.09328197635381186,0.08812499999999997
ETANOL,MA,0.05847108287745804,0.05166666666666667
ETANOL,MG,0.04619738853778136,0.03750000000000003
ETANOL,MS,0.09038352398003445,0.08281250000000001
ETANOL,MT,0.04781915324449964,0.03770833333333335
ETANOL,PA,0.04773857260943156,0.041666666666666574
ETANOL,PB,0.03140005860700856,0.01999999999999998
ETANOL,PE,0.0713919619209221,0.06249999999999998
ETANOL,PI,0.04311043449007773,0.031041666666666707
ETANOL,PR,0.05600905668896808,0.04708333333333331
ETANOL,RJ,0.055410240902971586,0.04906249999999999
ETANOL,RN,0.13291772468971016,0.12291666666666672
ETANOL,RO,0.03868497249859987,0.03374999999999998
ETANOL,RR,0.020383171714475717,0.012916666666666687
ETANOL,RS,0.035095987688574824,0.025208333333333333
ETANOL,SC,0.027954377059869657,0.021458333333333374
ETANOL,SE,0.03291252672295184,0.027604166666666652
ETANOL,SP,0.04431650873632822,0.036458333333333336
ETANOL,TO,0.07233344634090076,0.06697916666666659
GASOLINA,AC,0.1894671507114775,0.1708333333333333
GASOLINA,AL,0.0738150784194227,0.06729166666666665
GASOLINA,AM,0.055499643007106934,0.053749999999999985
GASOLINA,AP,0.041076125967272094,0.045416666666666626
GASOLINA,BA,0.07297704367741865,0.06083333333333335
GASOLINA,CE,0.051254037545162945,0.047916666666666774
GASOLINA,DF,0.16047578117123676,0.15395833333333334
GASOLINA,ES,0.05963829735244184,0.0542708333333333
GASOLINA,GO,0.059604564158348396,0.053125000000000124
GASOLINA,MA,0.06331121195463944,0.053333333333333365
GASOLINA,MG,0.03974226979973844,0.027083333333333293
GASOLINA,MS,0.07750802853496754,0.07125000000000004
GASOLINA,MT,0.033928654310507324,0.02937500000000004
GASOLINA,PA,0.06709520200557433,0.060624999999999894
GASOLINA,PB,0.04341656621875819,0.03270833333333332
GASOLINA,PE,0.10106452552994065,0.08958333333333335
GASOLINA,PI,0.051088112195868486,0.0445833333333334
GASOLINA,PR,0.04548251825269197,0.03562499999999996
GASOLINA,RJ,0.07565267084601024,0.068125
GASOLINA,RN,0.12072824251975224,0.10875
GASOLINA,RO,0.059516497207663686,0.0458333333333333
GASOLINA,RR,0.06131871867473321,0.037083333333333336
GASOLINA,RS,0.04821863409723206,0.03604166666666662
GASOLINA,SC,0.043141509561543744,0.03520833333333325
GASOLINA,SE,0.06415392335587987,0.05041666666666659
GASOLINA,SP,0.031202046046640047,0.020833333333333353
GASOLINA,TO,0.06641369985761308,0.05812499999999995
GLP,AC,1.3856791476605521,1.2708333333333333
GLP,AL,0.8906544573971485,0.8333333333333334
GLP,AM,0.4932187826058729,0.4166666666666667
GLP,AP,1.9987489582265219,2.0
GLP,BA,1.3962826136206579,1.3262499999999993
GLP,CE,1.2522339817978505,1.2710416666666668
GLP,DF,0.7797477375628287,0.7479166666666665
GLP,ES,0.9903493096870722,0.8876041666666671
GLP,GO,1.5268902472387478,1.5625
GLP,MA,0.8107182412783738,0.7495833333333346
GLP,MG,0.8719333511075537,0.8531250000000007
GLP,MS,1.7198916068954022,1.7914583333333336
GLP,MT,1.2612018431066263,1.1872916666666669
GLP,PA,1.7683536666306103,1.7260416666666665
GLP,PB,0.8461928772413231,0.7708333333333334
GLP,PE,0.9225600855428034,0.8543749999999998
GLP,PI,1.013429776862151,1.0012500000000004
GLP,PR,1.5244349175828684,1.5306249999999995
GLP,RJ,0.993568254594452,0.8946874999999999
GLP,RN,1.7955917432119624,1.7791666666666661
GLP,RO,1.6412761305095644,1.6554166666666674
GLP,RR,0.6491598268194659,0.4375
GLP,RS,0.5377000302696929,0.48541666666666633
GLP,SC,0.9337172846302124,0.8847916666666663
GLP,SE,0.7312328903878438,0.6706249999999999
GLP,SP,0.24486435043574564,0.18916666666666723
GLP,TO,1.7759501430826585,1.5208333333333333
